Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Explanation,Author
"Given the following Binary Search Tree: (F) / \ (D) (G) / \ (B) (E) / \(A) (C)which tree does a right rotation rooted at F produce as a result?
", ,"_(D)_ / \ (B) (F) / \ / \(A) (C) (E) (G)
", , , ,,"tokenguard (bb563 - permission to this course revoked)
"
"What is the correct algorithm for preorder tree traversal?
", , ,"1) Process the current node2) Process the nodes in the left sub-tree3) Process the nodes in the right sub-tree
", , ,,"jscs20 (jscs20 - permission to this course revoked)
"
"In a singly linked list, which of these operations has the best average runtime complexity?
", ,"add()
", , , ,"All the operations are dependant (on average) on the number of items in the list, apart from add(). As add() just places an item on the tail, it has a worst case runtime complexity, and therefore average, of 1.
",
"Consider the following algorithm:for (int i = 0; i < n; i++) { for (int j = 7; j < n2; j+2) { print i + j; }}Let f(n) be the run-time of this algorithm. Which one of the following statements is false?
", ,"f(n) = (n4)
", , , ,"The function f(n) = (n3) since the first loop has order n and the second loop has order n2. This means option A is okay.O represents the Upper Bound, so option C is okay.Same with option D.represents the Lower Bound, so option E is okay.Clearly n4 is not lower than n3so option B is false (the answer).
",
"What is the difference between the accuracy and the precision of a set of values?
","Accuracy is how close to the real value your measurement is while precision is how close your measurements are to each other.
", , , , ,"As seen in slide 7 here:https://moodle.bath.ac.uk/pluginfile.php/1116656/mod_resource/content/2/DA-Lecture03-Complexity1.pdf
",
"What is the equation for the average number of steps to insert/find an item in an Open Hash Table? (where L = load)
","1 + L/2
", , , , ,,"jscs20 (jscs20 - permission to this course revoked)
"
"If a closed hash table uses linear probing, and has a load factor of 0.75, what is the average number of steps required to find the item?
", ,"2.5
", , , ,"As according to lecture 9, the formula for this is 0.5(1 + (1 / (1 - L))). 1 - L = 0.25, 1 / 0.25 = 4, 1 + 4 = 5, 0.5 * 5 = 2.5.
",
"What is the time complexity of the following?for (int i = 0; i < n; i++) { for (int j = 0; j < n/2; j++) { System.out.println(n); }}
", , , ,"O(n2)
", ,"As it is a nested for loop, you would multiply the complexity of each for loop together to work out the overall complexity.The outer loop has complexity O(n) while the inner loop has complexity O(n/2). Therefore the overall time complexity is O(n*(n/2)) = O(n2/2) which we would generalise as O(n2).
",
"Which is correct:
", , ,"Big-Oh = Upper boundBig-Theta = Exact boundBig-Omega = Lower bound
", , ,,"jscs20 (jscs20 - permission to this course revoked)
"
"If we are implementing a heap in an array structure and we have a parent node at position 7, what position is its right child?
", , , , ," 16
","16 and the formula for a nodes children in array form are as follows,leftChild(parent) = 2* parent + 1rightChild(parent) = 2* parent + 2
",
"Letf(n) = O(p(n)),g(n) = O(q(n)),h(n) = O(r(n))What is the order of f(n)g(n) + h(n) ?
", ,"O(max{ p(n)q(n), r(n) })
", , , ,"In the case of products, if f1(n) = O(p1(n)) and f2(n) = O(p2(n)),thenf1(n)f2(n) = O(p1(n)p2(n))Sof(n)g(n) = O(p(n)q(n))In the case of sums, iff1(n) = O(p1(n))andf2(n)=O(p2(n)), thenf1(n) + f2(n) = O(max{p1(n), p2(n) })So takingf(n)g(n) = h'(n)and p(n)q(n) = r'(n), h'(n) + h(n) = O(max{r'(n), r(n)} i.e. f (n)g(n) + h(n) = O(max{p(n)q(n), r(n)})
",
"Show the resulting heap after extracting the largest item from the following tree 15 / \ 10 6 / \ / \ 5 8 3 4 / 1
", , ,"10 / \ 8 6 / \ / \5 1 3 4
", , ,"10 / \ 8 6 / \ / \5 1 3 4Copy the value from the right-most node in the bottom-most row to the root node, delete the right-most node in the bottom-most row and repeatedly swap the just-moved value with the larger of its two children until the value is greater than or equal to both of its children.
",
"For the following tree, what traversal method would be used to form the equation
", , , ,"In-order
", ,"In order traversal processes the nodes left, root, right.
",
"What is the idea behind ""open"" hash tables?
", ,"Instead of storing our values directly in array,each array bucket points to a linked list of values.
", , , ,,"nlee54 (nl484 - permission to this course revoked)
"
"Which is not a directed graph?
", ,"Becoming friends with Christof Lutteroth on Facebook.
", , , ,,"syag20 (syag20 - permission to this course revoked)
"
"What is the idea behind quicksort?
", , ,"Divide and conquer.
", , ,,"nlee54 (nl484 - permission to this course revoked)
"
"What other ADT does the breadth first traversal algorithm use to navigate a graph?
", , ,"A Queue
", , ,"https://moodle.bath.ac.uk/pluginfile.php/1145721/mod_resource/content/2/DA-Lecture17-Graphs1.pdf - slide 29A breadth first traversal adds each connected non visited node of the current node to a queue and is then de-queued in the order they were added in order to go through the graph one layer away from the start node at a time.
",
"Given the following binary tree: [""I""] / \ [""D""] [""O""] \ \ [""G""] [""Q""] \ [""U""] What would the output be for level-order traversal?
", , , ,"I D O G Q U
", ,"Level order traversal visits each level's nodes from left to right, starting from the top/root.
",
"Given the following array of integers: [14, 7, 2, 9, 13, 1, 15, 3], how many iterations does it take to sort (in ascending order) using quick sort?
", , , , ," 3
","Starting with the first iteration, we get: (14 the pivot)7, 2, 9, 13, 1, 3, 14, 15Now with 7 as a pivot, and 15 already being sorted as the only integer greater than 14:2, 1, 3, 7, 9, 13, 14, 15Now sorting each side, with 2 and 9 as pivots:1, 2, 3, 7, 9, 13, 14, 15
",
"Based on this graph how would a Breadth-First traversal look?
", ,"Start - Yellow - Red - Purple - Green - Pink - Orange - Blue
", , , ,,"emmafuentes (efa24 - permission to this course revoked)
"
"What is the time complexity of the heapsort algorithm?
", , ,"O(n log(n))
", , ,"Heapsort has complexity O(n log(n)) as the first part of the heapsort (converting a random array into a maxheap) has complexity O(n) while the second part is O(n log(n)) as it takes log(n) steps to remove an item from the maxheap and this extraction operation is performed n times.Therefore the overall complexity is O(n log(n)) + O(n) with, O(n log(n)) being the dominating term.
",
"When searching a closed hash table by linear probing with a load factor of 0.5, what is the average number of steps needed to find the required element?
", , ,"1.5
", , ,"To find the average number of steps we can use the formula 0.5(1+1/(1-L)) where L is the load factor. Here this is 0.5 so we have 0.5(1+1/0.5) = 0.5(1+2) = 1.5 steps
",
"Consider the following binary search treeWhen doing an in-order traversal, in what order will the nodes be visited?
", ,"Jacqueline, James, Jenny, Jill, Katherine, Kenny, Martha
", , , ,,"jbersey15 (jsb73)
"
"Which of the following is true about trees
","A node can have zero or more children
", , , , ,,"pjmt21 (pjmt21 - permission to this course revoked)
"
"Which sorting algorithm has the best (most efficient) performance when sorting an array which is sorted or almost sorted.
", ,"Insertion Sort
", , , ,,"cg747 (cg747 - permission to this course revoked)
"
"Which traversal method visits each levels node, from left to right, before visiting the nodes in the next level?
","Level Order Traversal
", , , , ,,"cg747 (cg747 - permission to this course revoked)
"
"What is the difference between a directed and undirected graph?
","With a directed graph, all edges go from one vertex to another in a specific direction. However, with an undirected graph, vertices are bi-directional.
", , , , ,,"megansp (msp38)
"
"Which of the following is the correct definition of a maxheap?
","A maxheap is a binary tree which follows these rules:1. The value contained by a node is always GREATER THAN OR EQUAL TO the values of the node’s CHILDREN.2. The tree is a COMPLETE binary tree.
", , , , ,"See lecture 16 slide 8 for the definition of the maxheap.
",
"Big-O, Big-Theta and Big-Omega notation all have the property of transitivity,which of the following best describes transitivity?
", ,"If A = B, and B = C, then also A = C, i.eIf f(n) = O(g(n)), and g(n) = O(h(n)), then f(n) = O(h(n))
", , , ,,"mm2302 (mm2302 - permission to this course revoked)
"
"If you stored a graph with e edges and v vertices as an adjacency matrix, what is the asymptotic memory usage of this matrix?
", , ,"?(v^2)
", , ,"The conections between edges is simply stored in a v*v matrix, where a connection is denoted by a boolean. So the asymptotic storage is?(v^2). See Lecture 17 slide 18 for more detail.
",
